name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
精灵旅社4：变身大冒险 ,1504.2万,1504.1万次播放,1.7万,6.4,1019人评,2022年4月3日上映,88分钟,http://i0.hdslb.com/bfs/bangumi/image/27d81ada97cf499ec3b13a6f7db3ab71ada8c3c5.png,15,477
中国惊奇先生,1490.3万,1490.2万次播放,28.9万,8.9,5486人评,2015年6月19日上映,162分钟,http://i0.hdslb.com/bfs/bangumi/bad54063f49aaf6b4e115050029c0df02c17dab8.jpg,12,1768
哈利·波特与混血王子,1487.5万,1487.5万次播放,67万,9.6,6234人评,2009年7月15日上映,153分钟,http://i0.hdslb.com/bfs/bangumi/2c28f89635ba8ac7ca80431747020b408594268a.jpg,15,693
言语如苏打般涌现,1470.9万,1470.9万次播放,8万,9.5,16859人评,2021年7月22日上映,87分钟,http://i0.hdslb.com/bfs/bangumi/image/f651ad717741497cf0bb3e4e08a2e773ebd13e5b.png,114,5689
白蛇传·情,1442.9万,1442.9万次播放,5.1万,9.9,9693人评,2021年5月20日上映,101分钟,http://i0.hdslb.com/bfs/bangumi/image/b73871e9ec0b6430dabf5e7ea8882898b5ace313.png,45,3161
007：无暇赴死,1431.9万,1431.9万次播放,5.5万,8.3,2672人评,2021年10月29日上映,163分钟,http://i0.hdslb.com/bfs/bangumi/image/8d211c396aad084d6fa413015200dda6ed260768.png,9,657
流浪地球,1420.8万,1420.7万次播放,22.9万,9.6,48496人评,2019年2月5日上映,125分钟,http://i0.hdslb.com/bfs/bangumi/image/67fdef589fc71b7b13db02400519b02d581779b0.png,188,15283
蜘蛛侠：英雄归来,1409.3万,1409.3万次播放,3.6万,8.1,3285人评,2017年9月8日上映,133分钟,http://i0.hdslb.com/bfs/bangumi/image/9475e4844555567a7eae8c3f5e1570daf5a98031.png,21,826
哈利·波特与死亡圣器(下),1400.5万,1400.5万次播放,45.8万,9.7,7797人评,2011年8月4日上映,130分钟,http://i0.hdslb.com/bfs/bangumi/abcafcf95a0853f709d735f10561b993d0fc05bd.jpg,31,1248
追凶者也,1398.2万,1398.2万次播放,16万,9.4,4862人评,2016年9月14日上映,110分钟,http://i0.hdslb.com/bfs/bangumi/d21d34fcfc0908efd923d75c6872fc2df3c5cd95.jpg,15,1085
西游记之大圣归来,1373.9万,1373.9万次播放,35.6万,9.2,5623人评,2015年7月10日上映,89分钟,http://i0.hdslb.com/bfs/bangumi/af2a07d4d00829e3a15bdd33782916997e648fb2.jpg,17,1537
EVA 新世纪福音战士新剧场版1.11：序,1361.4万,1361.4万次播放,12.7万,9.7,7898人评,2007年9月1日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/41a56f681e3d020e531b67e523ddd972dfa61885.jpg,12,1224
飞驰人生,1339.9万,1339.9万次播放,9.3万,9.5,11172人评,2019年2月5日上映,98分钟,http://i0.hdslb.com/bfs/bangumi/image/1fc894f9a1dafed2445aa92c13885b3f1ea0255d.png,32,2324
我们的父辈,1309.3万,1309.3万次播放,9.9万,9.9,9663人评,2013年3月17日上映,90分钟,http://i0.hdslb.com/bfs/bangumi/image/0bde528c7838257c51770d3f7e1047684fc420b5.jpg,23,2183
哆啦A梦：大雄的新恐龙,1286.6万,1286.6万次播放,15万,9.7,8337人评,2020年12月11日上映,110分钟,http://i0.hdslb.com/bfs/bangumi/image/cc801460391ca34303d1c41588aadf06199159c7.jpg,31,2205
变形金刚,1271万,1271万次播放,15.3万,9.7,5329人评,2007年7月11日上映,143分钟,http://i0.hdslb.com/bfs/bangumi/624e8363da08399eeb505857aec0d64d18f0476a.jpg,16,1058
未来的未来,1261万,1261万次播放,5.8万,9.5,7645人评,2020年11月6日上映,98分钟,http://i0.hdslb.com/bfs/bangumi/image/ec828a84fa51f099a334a74e8b214d7926a5dfc1.jpg,47,2259
叶问,1257.4万,1257.4万次播放,24.8万,9.7,6623人评,2008年12月12日上映,106分钟,http://i0.hdslb.com/bfs/bangumi/image/c3593f27e53c544917b8d1f439de7b5932c68220.png,15,1284
神秘海域,1256.8万,1256.8万次播放,3万,7.5,3067人评,2022年3月14日上映,116分钟,http://i0.hdslb.com/bfs/bangumi/image/3339282755175151df2f288132ac219a382ee138.png,4,817
名侦探柯南 贝克街的亡灵,1231.6万,1231.6万次播放,18.9万,9.8,12454人评,2002年4月20日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/image/ea90b97ba8ea52b1de7ffc2be10fca4c03593e58.jpg,30,3466
怦然心动,1226.6万,1226.6万次播放,14.8万,9.9,26502人评,2010年7月26日上映,90分钟,http://i0.hdslb.com/bfs/bangumi/image/19efbf7231cc0f3183661867ff7601055357fd7f.jpg,84,7194
海蒂和爷爷,1222.8万,1222.8万次播放,7.9万,9.9,15072人评,2015年12月10日上映,111分钟,http://i0.hdslb.com/bfs/bangumi/a38bc15f947f7d0c8981cff23d7633e0bc75569d.jpg,31,4726
哈利·波特与死亡圣器(上),1221.9万,1221.8万次播放,41.3万,9.6,4650人评,2010年11月19日上映,146分钟,http://i0.hdslb.com/bfs/bangumi/d435abc79671d66ce826eea03911b3d3074d27b7.jpg,9,481
建国大业,1208.5万,1208.5万次播放,6.9万,,,2009年9月16日上映,135分钟,http://i0.hdslb.com/bfs/bangumi/cd93e7d51d9867a827c8237c5751ddd61d82165b.jpg,,
EVA 新世纪福音战士新剧场版3.33：Q,1176.3万,1176.3万次播放,16.1万,9.0,10695人评,2012年11月17日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/73fcd288f753d420365962d6622125fdb06fd9c5.jpg,106,3316
EVA 新世纪福音战士新剧场版2.22：破,1163.1万,1163.1万次播放,19.6万,9.7,9009人评,2009年6月27日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/a98384d26fa30011f9476b8c1112066526f0446a.jpg,24,1802
绣春刀,1161.5万,1161.5万次播放,18.8万,9.2,6122人评,2014年8月7日上映,107分钟,http://i0.hdslb.com/bfs/bangumi/888ece04fd89c548971e804ff969c0868c976e4b.jpg,19,1399
妙先生,1161.3万,1161.2万次播放,6.3万,8.3,11990人评,2020年7月31日上映,89分钟,http://i0.hdslb.com/bfs/bangumi/image/0b3d9b0b47c4d69bc75eba8d096c1652919c443f.jpg,170,5052
战狼,1149万,1149万次播放,10.4万,8.2,8198人评,2015年4月2日上映,90分钟,http://i0.hdslb.com/bfs/bangumi/34d2597c1ab6b341fecabc7730987a4704fb3a27.jpg,21,3081
