name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
三体,3872.1万,286.5万追番,17.3万,,,敬请期待,,http://i0.hdslb.com/bfs/bangumi/image/ac51c1b60dd9c3b8951ba3968c4f494c6e7b080b.jpg,,
天宝伏妖录 第二季,7215.7万,282.1万追番,43.5万,9.6,15693人评,2021年4月25日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/25a04e51de0ae38db9d9798bd9337b73bddc7a00.jpg,160,6248
如果历史是一群喵 第八季,655.2万,278.4万追番,2.5万,9.7,848人评,2022年4月24日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/ad249a4a1b67a83db0c24d7d16b31b3714373064.png,1,149
那年那兔那些事儿 第五季,7441万,266.9万追番,21.8万,9.6,20566人评,2019年10月1日开播,"已完结, 全11话",http://i0.hdslb.com/bfs/bangumi/80c412b59a818336685eafca6829f2b40cf3cf7c.jpg,20,4659
风灵玉秀,6404.8万,263.4万追番,79.3万,9.8,56164人评,2017年4月1日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/7db24054188e0f4889c4bfe33f9c8dad0f6b1056.png,152,21663
剑网3·侠肝义胆沈剑心之长漂,5548万,263万追番,11.3万,9.4,6795人评,2020年10月24日开播,"已完结, 全20话",http://i0.hdslb.com/bfs/bangumi/image/a2aaa4ed07428c8df5f780dd7a3533916b8380a8.png,9,1867
那年那兔那些事儿 第一季,1.7亿,262.7万追番,195.9万,9.7,34033人评,2015年3月5日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/ddb029703d0838000c3b7e2e39718a36dbbdcb77.jpg,40,8725
如果历史是一群喵 第七季,1328.6万,260.4万追番,4.6万,9.5,1354人评,2021年10月17日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/07e52bab805483772f8bd1baa723f7436f6373d6.jpg,9,278
天宝伏妖录,1.3亿,258.7万追番,99.7万,9.6,38197人评,2020年7月5日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/af70ee7437ce3855796d4d3fb585d85755a1dbc0.jpg,531,16583
王者？别闹！,5.6亿,257.8万追番,105.3万,9.1,27126人评,2017年6月3日开播,连载中,http://i0.hdslb.com/bfs/bangumi/0f74eddb7755ad86d8f6237e37510830b409a748.jpg,30,8271
我家大师兄脑子有坑,1.7亿,253.8万追番,74.2万,9.4,17178人评,2018年4月4日开播,"已完结, 全26话",http://i0.hdslb.com/bfs/bangumi/f4c9fba5f64cca02190d8723c7e99c2f46e6436f.jpg,98,7400
凹凸世界 第三季,3.9亿,251万追番,592.6万,9.4,33655人评,2019年1月25日开播,"已完结, 全40话",http://i0.hdslb.com/bfs/bangumi/8155078332f0d9ce724eda922a14c0f7c9c826ca.jpg,311,12414
风灵玉秀 第二季,204.1万,250.2万追番,5398,,,敬请期待,,http://i0.hdslb.com/bfs/bangumi/image/241e36f34628889e3824ea0686f93300f832bb8a.jpg,,
少年歌行,1.6亿,240.5万追番,213.4万,9.5,27599人评,2018年12月26日开播,"已完结, 全26话",http://i0.hdslb.com/bfs/bangumi/6cd0e3278712e04aef36723e44a805c432bc5c61.jpg,109,10457
如果历史是一群喵 第6季,2186.6万,238.2万追番,6万,9.2,2024人评,2021年4月11日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/fea7464f11e68807fc00b7ce74afe67d75e5bb26.jpg,13,468
请吃红小豆吧！第0.5季,525.5万,238万追番,1.5万,9.7,782人评,2022年5月5日开播,"连载中, 每周四 12:00更新",http://i0.hdslb.com/bfs/bangumi/image/f7494855794186bce64dfee95be5a7d7b1432a72.jpg,,204
汉化日记 第三季,269.5万,235万追番,4133,,,07月31日12:00开播,,http://i0.hdslb.com/bfs/bangumi/image/206428990cb5b54f4c114c0b3fcc10d8f5724f7c.jpg,,
剑网3·侠肝义胆沈剑心 第二季,8909万,228.9万追番,85万,9.6,37006人评,2019年12月27日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/db1f22e51d4ff8ba4c48d65904be23015604f956.jpg,149,12438
永生,1.1亿,227.7万追番,52.4万,7.0,30016人评,2022年1月29日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/2ebfeff6ce8d0f17e928b43416d7933d5edd2556.png,147,15222
如果历史是一群喵 1-3季,1.5亿,218.7万追番,49.4万,9.7,19017人评,2018年9月2日开播,"已完结, 全38话",http://i0.hdslb.com/bfs/bangumi/e6cf75db82e292f7b5ca29c96767464c686dc94d.jpg,65,6491
萌妻食神,1.1亿,214.1万追番,99.9万,9.2,16233人评,2018年12月29日开播,"连载中, 每周二 11:00更新",http://i0.hdslb.com/bfs/bangumi/image/b348bb6f42d6a9603130ab15a9dccef980ba1a19.png,60,6445
请吃红小豆吧！ 第四季,2905.8万,210万追番,12.1万,9.7,3994人评,2020年7月10日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/d2e7311cdc09a233fe359199fe4b1e04b46ea093.png,,1036
汉化日记,7878万,207.5万追番,56万,9.8,31315人评,2019年7月21日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/2aec3712f01aeadaa45bc4796f3145eda3cf3bf5.jpg,38,11093
汉化日记 第二季,5164.6万,196.1万追番,35.9万,9.8,19916人评,2020年11月15日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/9c8a87bdc83d0db7909300099b911beff5e1e543.jpg,33,6844
剑网3·侠肝义胆沈剑心,1.1亿,195.8万追番,90.6万,9.8,35602人评,2018年9月21日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/90e7759af39e768e3116938dfca60f7d602ac7c5.jpg,130,14668
如果历史是一群喵 4-5季,5969.3万,192.7万追番,24.4万,8.9,20199人评,2020年1月26日开播,"已完结, 全26话",http://i0.hdslb.com/bfs/bangumi/image/b0bb1be29f998468f339e47078e88375c73504f3.png,125,6986
