name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
青春猪头少年不会梦到怀梦美少女,2539.7万,503万追番,120.9万,9.8,134773人评,2019年6月15日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/image/cfafce51c36912bbe0b25993c7fd9489456c7120.png,400,45442
Re：从零开始的异世界生活 Memory Snow(雪之回忆),1428.7万,492.8万追番,24.7万,9.7,14645人评,2019年6月7日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/image/137c9c239aed5d7666f35ab1d28528547d05544f.png,8,3431
Re：从零开始的异世界生活 冰结之绊,1436.1万,492.2万追番,11.9万,9.5,12910人评,2019年11月8日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/image/05859fac3ad9be31373e2d2b548a2f14fd472de2.png,21,3388
干物妹！小埋,1.8亿,492万追番,614.1万,9.3,25434人评,2015年7月8日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/40f364466f4214fbd12bd9bf6653295d92126409.png,102,6741
虚构推理,1亿,491万追番,141.1万,9.2,70225人评,2020年1月12日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/0310ac2b537fb8aed2eccd95a2762cf48bab0904.png,255,20685
"世界顶尖的暗杀者,转生为异世界贵族",1.4亿,487.2万追番,94.1万,9.2,76128人评,2021年10月6日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/53be357768faece2b7931986442119f4a15df63e.png,260,27569
JOJO的奇妙冒险 黄金之风,4.7亿,485.7万追番,444万,9.8,256501人评,2018年10月6日开播,"已完结, 全39话",http://i0.hdslb.com/bfs/bangumi/f34ff3975c39913af936c133ae60a5891babba08.png,978,96332
干物妹！小埋R,1.5亿,485.7万追番,370.3万,9.5,40443人评,2017年10月8日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/e4edc4b821e92840453fe6e36ade81d92e85d0bc.jpg,89,14411
命运-冠位指定 绝对魔兽战线 巴比伦尼亚,1.6亿,485.7万追番,171.7万,9.5,142752人评,2019年10月6日开播,"已完结, 全22话",http://i0.hdslb.com/bfs/bangumi/image/ef60e620eb507d48c1e8e6002728fae4553f9161.png,445,48497
中二病也要谈恋爱！,5516.5万,485万追番,79.7万,9.8,41068人评,2012年10月3日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/9b2fadeebea37c5da20ec9215fc4056caee69584.jpg,171,11345
命运-冠位指定 -月光／失落之室-,558.8万,483.1万追番,9769,9.5,1812人评,2017年12月31日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/image/3fa5fd2b7afae827b0bf150d7f0cbfc54eda1ff2.png,2,372
命运-冠位嘉年华,878.1万,479.8万追番,4.1万,9.8,8194人评,2021年6月2日开播,"已完结, 全2话",http://i0.hdslb.com/bfs/bangumi/image/c660976f4502a544d990a882ae62194b57753a71.png,5,1779
异度侵入 ID:INVADED,1.2亿,479.1万追番,153.7万,9.8,299954人评,2020年1月6日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/9bf9e66968f85b33ec3769a16c86b36dc984abbc.png,1023,119652
致不灭的你,1.3亿,477.1万追番,140.5万,9.6,83282人评,2021年4月14日开播,"已完结, 全20话",http://i0.hdslb.com/bfs/bangumi/image/1ae94fbb35d8e23bb84926b694509f8b057f96e6.png,246,28495
五等分的新娘∬,6893.2万,463.1万追番,81.8万,9.7,32533人评,2021年1月8日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/2a0dc651a4ffca1cfe915dbc7eb2c8c65256813d.png,76,9957
NO GAME NO LIFE 游戏人生,8622.3万,460.6万追番,325.4万,9.8,74504人评,2014年4月9日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/f7175cd20de509e2bfd43255c28cf4e24841480d.jpg,169,24961
刀剑神域 Alicization,1.9亿,457.3万追番,316万,8.3,86412人评,2018年10月7日开播,"已完结, 全24话",http://i0.hdslb.com/bfs/bangumi/image/473b8f1c7e23c79b868ef46df3f3cff67362f285.jpg,635,35077
Fate/stay night [Unlimited Blade Works] 第一季,1.9亿,454.1万追番,547.2万,9.5,24683人评,2014年10月4日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/e67e09c9e48a32371a81100e0f65a61b18aabb24.png,66,5821
我的青春恋爱物语果然有问题。,9615.6万,453.5万追番,533.4万,9.7,47466人评,2013年4月4日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/8d1200b8c8b795dd3a7baae33afcec42fbd1947c.png,176,12016
约战狂三外传,2384.8万,452.9万追番,13.4万,9.6,18053人评,2020年9月30日开播,"已完结, 全2话",http://i0.hdslb.com/bfs/bangumi/image/faf7334f2e62698f852db315e10dcacfe80748f3.jpg,39,6198
多罗罗,1.8亿,452.7万追番,144.1万,9.4,78561人评,2019年1月6日开播,"已完结, 全24话",http://i0.hdslb.com/bfs/bangumi/3fc16a667502cbff226e585eb660a96a20c7458c.png,389,26612
