name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
触电大咖说,51.8万,51.8万次播放,1951,,,2019年5月28日开播,"已完结, 全9集",http://i0.hdslb.com/bfs/bangumi/image/46a4ab9b970265e446c8bad1a206486fc4bb268d.jpg,,27
求职高手青春季,50.1万,50.1万次播放,410,,,2021年10月6日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/d7a6fbbd60adf6ed3c150bbcb25074fff7fd3dff.png,,1
《潮起福建·中国年》2021年福建春节联欢晚会,45.1万,45.1万次播放,941,,,2021年2月12日开播,"已完结, 全2集",http://i0.hdslb.com/bfs/bangumi/image/6d6d49d8dcf9a6f9fa6e7deba63153765d4b6f01.jpg,,12
成语天下,43.1万,43.1万次播放,5025,,,2019年6月30日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/10c13c6918c5e9680ec7a81f32c591655357520d.png,,26
超人女子战士 V学霸,38.9万,38.9万次播放,2780,8.8,277人评,2019年12月27日开播,连载中,http://i0.hdslb.com/bfs/bangumi/image/da1981f4ca98b53e10994bd8228a143e6af2dfa6.png,1,94
饭没了秀中华小使者,38万,38万次播放,889,,,2019年8月10日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/0d927911c97441f5cb6070b39ab1e4c910aca06e.jpg,,10
ROY6的诞生时光,37.2万,37.2万次播放,4179,9.8,515人评,2018年10月11日开播,"已完结, 全11集",http://i0.hdslb.com/bfs/bangumi/image/60a03e0750c3dc1cf5a98b997c7a24186388e0e5.png,1,409
斯文江南,35.4万,35.4万次播放,1252,,,2022年1月6日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/b2cd124bb6db3af04fcbebb41171cf0bdde0c091.png,1,19
群演公社,34.9万,34.9万次播放,596,,,2019年6月23日开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/2aa5a689af0259c0cf89fc87308d50056af255a2.jpg,,1
2021美好生活欢乐送,33万,33万次播放,2605,,,2021年3月13日开播,连载中,http://i0.hdslb.com/bfs/bangumi/image/b39630a9f67d9b0fb032aad65627fa1682bfafdc.jpg,,40
我中国少年 第2季,31.3万,31.3万次播放,575,,,2019年5月19日开播,"已完结, 全14集",http://i0.hdslb.com/bfs/bangumi/a44f2529962cd1e56afb5d0e55b93eef8d78507a.jpg,,5
中国节气—春分奇遇记 ,28.8万,28.8万次播放,1549,9.9,383人评,2022年3月19日开播,"已完结, 全1集",http://i0.hdslb.com/bfs/bangumi/image/030e91130b339cf01d6e97da84c0c96a50ab82fe.png,,157
2022川渝春节联欢晚会,26.8万,26.8万次播放,748,,,2022年1月30日开播,已完结，共1集,http://i0.hdslb.com/bfs/bangumi/image/eec7aec316550fdcce929ac3acf365ecf61d1f5d.png,,8
Hi☆频道 Hi☆Channel,26万,26万次播放,1098,9.8,104人评,2020年6月28日开播,连载中,http://i0.hdslb.com/bfs/bangumi/image/1baf96bb39749c7731bedd4be236afa53b41be50.jpg,,35
我们正年轻·2021芳华盛典,21.9万,21.9万次播放,1204,,,2021年2月5日开播,"已完结, 全1集",http://i0.hdslb.com/bfs/bangumi/image/71d55941f53d825b38cd44da1c3e93ad06dab3bd.jpg,,12
还有诗和远方·诗画浙江篇 第三季,18.8万,18.8万次播放,605,,,2022年6月26日开播,"连载中, 6月26日起每周日21:40更新",http://i0.hdslb.com/bfs/bangumi/image/e7907aa3213301db854df11b3d49a6bb1c4ce106.jpg,,2
