name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
去你家吃饭好吗,3175.2万,3175.2万次播放,12.1万,9.8,10688人评,2021年2月15日开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/image/6510a58b5425b86f9abd8abc1ca9ce70f965d25e.jpg,42,2627
巡逻现场实录2018,3171.6万,3171.6万次播放,63万,6.5,11387人评,2018年11月17日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/9187c5249a266c0bcb900d6e63a7eb68c1d09b26.jpg,19,3946
无影灯下,2965.2万,2965.2万次播放,18.5万,9.7,5159人评,2019年9月23日开播,"已完结, 全16集",http://i0.hdslb.com/bfs/bangumi/94fd4d8d38367d771b032a9521b73ae59d8c6cef.jpg,9,1143
生活如沸,2920.2万,2920.2万次播放,13.3万,7.8,6124人评,2019年12月20日开播,"已完结, 全7集",http://i0.hdslb.com/bfs/bangumi/image/7016c4330daa2d0fba3238910f0fdec48609eea1.png,19,1924
小城夜食记2,2903.1万,2903.1万次播放,12万,9.8,3722人评,2021-10-06开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/image/94513788ac8b91e3a1289f9e50a7cb5bc0253a68.png,6,619
航拍中国 第三季,2877.2万,2877.2万次播放,43.4万,9.7,6288人评,2020年5月21日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/27ca622a70f63a0f082af05270af3267e990e81f.jpg,17,1598
人间世 第一季,2841.6万,2841.6万次播放,7万,9.9,2824人评,2016年6月11日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/32575c2a7feef1a94c3ec1b0d229cfcfd0f01549.png,3,491
我和我的家乡 电影幕后纪实节目,2755.4万,2755.4万次播放,7.1万,9.4,1147人评,2020年9月19日开播,"已完结, 全5集",http://i0.hdslb.com/bfs/bangumi/image/7e57ede3d3cab46f784ebbb23e5bd74b58929895.jpg,2,205
bilibili@黄金眼,2729.3万,2729.3万次播放,7.3万,9.8,3326人评,2019年1月19日开播,"已完结, 全23集",http://i0.hdslb.com/bfs/bangumi/f3c59d93087db1b5bb1211a9388cb4124f314cc1.png,,1236
荒野求生 第一季,2700.6万,2700.6万次播放,60.7万,9.9,4939人评,2006年10月27日开播,"已完结, 全15集",http://i0.hdslb.com/bfs/bangumi/ec7d2c51950c0dad2a4292dbc7470ac8eae06686.jpg,1,1285
王朝 2,2688.6万,2688.5万次播放,8.9万,9.8,1692人评,敬请期待开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/image/25e8a7fe191e0665a21b0b8291040bce258df229.png,2,251
超时空鉴定,2680.2万,2680.2万次播放,3.5万,9.7,1705人评,2022年5月4日开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/image/2a6a80669cb2638215a8444a40ac56d783cd4185.jpg,,319
来者何人,2632.1万,2632.1万次播放,14.7万,5.7,10062人评,2020年11月7日开播,"已完结, 全7集",http://i0.hdslb.com/bfs/bangumi/image/c58d716efb7d73ef26bb54a310bc6a5f1b0dd50b.png,42,4380
宇宙时空之旅：未知世界,2600.2万,2600.2万次播放,8.4万,9.8,6033人评,2020年3月9日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/7fd34722ae5e65086a0ed202db1795cbd85bf1b8.png,10,1158
原始生活40天 第三季,2588.6万,2588.5万次播放,12.5万,7.6,231人评,2018开播,"已完结, 全9集",http://i0.hdslb.com/bfs/bangumi/2798a6360642f2005c904eef4207752bf8d03148.jpg,1,93
但是还有书籍 第2季,2585万,2585万次播放,11.6万,9.9,6782人评,2022年1月20日开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/image/85eaa09eee26bff57d7c1426e9bdd6aaf738ac8e.png,23,1349
荒野求生 第四季,2580.1万,2580.1万次播放,17.2万,9.9,2100人评,2008年5月2日开播,"已完结, 全13集",http://i0.hdslb.com/bfs/bangumi/086415cdafc5d5111fe847a1298f9cdcc8d9faf3.jpg,2,558
历史那些事 第二季,2540.1万,2540.1万次播放,24万,9.6,4943人评,2019年6月20日开播,"已完结, 全8集",http://i0.hdslb.com/bfs/bangumi/image/488a95b1151dd6bc4834394dc85955a807fa54e4.jpg,25,1489
单挑荒野绝境,2433.2万,2433.2万次播放,14.5万,9.8,1518人评,2017年9月14日开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/efe363e9b933198839c7be8fb3adcf6fc6c32faa.png,,307
荒野求生 第三季,2424.9万,2424.9万次播放,17.3万,9.9,2570人评,2019年5月11日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/fc61ba0aeb47c0435e23cec2150ef7f4b33086a1.jpg,,633
亚当的超狂工作室,2369.8万,2369.7万次播放,3.5万,8.8,1249人评,2019年6月14日开播,"已完结, 全8集",http://i0.hdslb.com/bfs/bangumi/image/f7e1232b3055ab9029beb1d1112ac389b1ec7f27.jpg,1,319
我住在这里的理由 第三季,2297.4万,2297.4万次播放,19.7万,9.8,3104人评,2020年3月26日开播,连载中,http://i0.hdslb.com/bfs/bangumi/image/502c73ec1b7eb5c0b6ceba8ae762df4210632341.jpg,,522
舌尖上的中国 第二季,2292.1万,2292.1万次播放,20.1万,9.8,4718人评,2014年4月18日开播,"已完结, 全7集",http://i0.hdslb.com/bfs/bangumi/image/779d736121b7915c6d61b712528e41645f7f444b.png,6,1060
体内怪物 第八季,2278.6万,2278.6万次播放,9.4万,9.5,640人评,2018开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/0afbcdf68628459419b095911e6cc2b5531063b2.png,3,228
我粉你,2253.1万,2253.1万次播放,5.3万,9.4,1560人评,2021-08-18开播,"已完结, 全5集",http://i0.hdslb.com/bfs/bangumi/image/677ac8215da9649d2cdf594ec30a2fece32e7ae6.jpg,4,725
荒野求生 第二季,2248.6万,2248.6万次播放,41.6万,9.9,3149人评,2007年6月15日开播,"已完结, 全13集",http://i0.hdslb.com/bfs/bangumi/4710bbc26dcdc503f47eba867ec726a70fc25821.png,2,891
紫禁城,2247.9万,2247.9万次播放,8.9万,9.6,1880人评,2021年10月22日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/00c1d4cf3b03e8f3ab3d48350b0d15cfdb6aa0d1.jpg,5,307
追踪海洋巨兽,2213.1万,2213.1万次播放,4.1万,9.7,1553人评,2021年4月15日开播,"已完结, 全8集",http://i0.hdslb.com/bfs/bangumi/image/3e3009401db84da1376eed55cde47d4c83b3b3ec.jpg,1,320
兵器科技,2205.5万,2205.4万次播放,1.5万,,,2020年8月10日开播,"连载中, 每日更新3集",http://i0.hdslb.com/bfs/bangumi/image/9f561edaa6f57cdb3e350ff1cfb20e265cae642d.png,,483
我是XX生,2185.7万,2185.7万次播放,14.4万,9.2,1921人评,2020年开播,"已完结, 全8集",http://i0.hdslb.com/bfs/bangumi/image/2e8f0ad4d45019949cb4bfb4bec7ae1b65bcf88b.jpg,12,467
但是还有书籍,2064.2万,2064.2万次播放,11.7万,9.8,11795人评,2019年开播,"已完结, 全5集",http://i0.hdslb.com/bfs/bangumi/image/f6114ae6a0f519883b99a4194d2a0b676aabd0a1.png,52,3152
